|,|__appid,|__name,|__developer,|__publisher,|__score_rank,|__positive,|__negative,|__userscore,|__owners,|__average_forever,|__average_2weeks,|__median_forever,|__median_2weeks,|__price,|__initialprice,|__discount,,
215710,215710, Fieldrunners 2,Subatomic Studios LLC,Subatomic Studios LLC,,265,53,0,"100,000 .. 200,000",715,16,138,16,999,999,0,,
270090,270090,//N.P.P.D. RUSH//- The milk of Ultraviolet,Rail Slave Games,KISS ltd,,259,514,0,"100,000 .. 200,000",240,0,229,0,399,399,0,,
unknow,unknow,007 Legends,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
278440,278440,0RBITALIS,Alan Zucconi,Mastertronic,,190,71,0,"20,000 .. 50,000",114,0,76,0,999,999,0,,
15540,15540,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),"Dejobaan Games, LLC","Dejobaan Games, LLC",,152,333,0,"0 .. 20,000",178,0,59,0,999,999,0,,
271670,271670,10 Second Ninja,Four Circle Interactive,Mastertronic,,586,98,0,"50,000 .. 100,000",190,0,136,0,199,199,0,,
227580,227580,"10,000,000",EightyEightGames,EightyEightGames,,1549,187,0,"100,000 .. 200,000",366,106,273,108,199,499,60,,
282800,282800,100% Orange Juice,Orange_Juice,Fruitbat Factory,,10492,776,0,"200,000 .. 500,000",958,263,249,136,699,699,0,,
205690,205690,1000 Amps,Brandon Brizzi,Brandon Brizzi,,227,62,0,"20,000 .. 50,000",128,0,63,0,499,499,0,,
342580,342580,12 Labours of Hercules,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,,2379,151,0,"100,000 .. 200,000",323,0,278,0,50,299,83,,
360640,360640,12 Labours of Hercules II: The Cretan Bull,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,,1635,183,0,"200,000 .. 500,000",330,227,276,227,50,299,83,,
360650,360650,12 Labours of Hercules III: Girl Power,"Jetdogs Studios, Zoom Out Games",Jetdogs Studios,,725,110,0,"100,000 .. 200,000",291,0,223,0,299,299,0,,
242820,242820,140,Carlsen Games,Carlsen Games,,3377,235,0,"200,000 .. 500,000",175,136,121,142,499,499,0,,
342990,342990,15 Days,House of Tales,HandyGames,,33,65,0,"0 .. 20,000",36,0,70,0,999,999,0,,
347630,347630,16 Bit Arena,16bitarena.com,16bitarena.com,,38,18,0,"50,000 .. 100,000",1,0,1,0,0,0,0,,
375460,375460,16bit Trader,Forever Entertainment S. A.,Forever Entertainment S. A.,,569,855,0,"200,000 .. 500,000",346,90,264,90,299,299,0,,
unknow,unknow,1701 A.D. Sunken Dragon,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
12520,12520,18 Wheels of Steel: American Long Haul,SCS Software,"ValuSoft, Play Hard Games",,245,111,0,"50,000 .. 100,000",406,4,243,4,999,999,0,,
248490,248490,1953 - KGB Unleashed,,United Independent Entertainment GmbH,,297,222,0,"100,000 .. 200,000",35,0,14,0,599,599,0,,
325470,325470,1953: NATO vs Warsaw Pact,Wastelands Interactive,Wastelands Interactive,,15,39,0,"0 .. 20,000",270,0,313,0,1999,1999,0,,
255280,255280,1954 Alcatraz,"Daedalic Entertainment, Irresponsible Games",Daedalic Entertainment,,686,261,0,"100,000 .. 200,000",205,431,173,431,999,999,0,,
270190,270190,1HEART,Chicken in The Corn,Chicken in The Corn,,104,64,0,"20,000 .. 50,000",162,0,189,0,999,999,0,,
332710,332710,1Quest,"Ratz 'N' Godz, Storybird Games",Ratz 'N' Godz,,81,67,0,"50,000 .. 100,000",149,0,103,0,399,399,0,,
278530,278530,3 Stars of Destiny,Aldorlea Games,Degica,,111,81,0,"20,000 .. 50,000",345,0,271,0,1499,1499,0,,
263360,263360,3089 -- Futuristic Action RPG,Phr00t's Software,Phr00t's Software,,374,147,0,"50,000 .. 100,000",187,302,139,302,699,699,0,,
362830,362830,3D MiniGolf,Z-Software GmbH,rokapublish,,20,32,0,"0 .. 20,000",29,0,37,0,999,999,0,,
223850,223850,3DMark,UL,UL,,2284,331,0,"50,000 .. 100,000",414,126,137,44,2999,2999,0,,
205270,205270,3DMark 11,UL,UL,,29,7,0,"20,000 .. 50,000",66,1,24,1,1999,1999,0,,
unknow,unknow,3DMark Vantage,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
